District,Year,Crop,Production
4,2009,Wheat,28.14
4,2010,Wheat,30.13
4,2011,Wheat,26.28
4,2012,Wheat,27.31
4,2013,Wheat,26.97
4,2014,Wheat,28.15
4,2015,Wheat,27.03
4,2016,Wheat,25.1
4,2017,Wheat,21.72
5,1966,Wheat,1.0
5,1967,Wheat,1.0
5,1968,Wheat,1.0
5,1969,Wheat,0.9
5,1970,Wheat,1.0
5,1971,Wheat,1.2
5,1972,Wheat,3.1
5,1973,Wheat,3.5
5,1974,Wheat,3.8
5,1975,Wheat,3.5
5,1976,Wheat,2.8
5,1977,Wheat,4.2
5,1978,Wheat,7.0
5,1979,Wheat,2.3
5,1980,Wheat,5.4
5,1981,Wheat,5.6
5,1982,Wheat,6.0
5,1983,Wheat,3.2
5,1984,Wheat,2.9
5,1985,Wheat,3.2
5,1986,Wheat,4.0
5,1987,Wheat,4.0
5,1988,Wheat,3.8
5,1989,Wheat,3.3
5,1990,Wheat,3.2
5,1991,Wheat,2.6
5,1992,Wheat,2.4
5,1993,Wheat,3.1
5,1994,Wheat,3.2
5,1995,Wheat,3.7
5,1996,Wheat,5.7
5,1997,Wheat,2.9
5,1998,Wheat,4.7
5,1999,Wheat,0.0
5,2000,Wheat,3.04
5,2001,Wheat,3.77
5,2002,Wheat,4.38
5,2003,Wheat,5.08
5,2004,Wheat,3.86
5,2005,Wheat,3.86
5,2006,Wheat,3.74
5,2007,Wheat,4.65
5,2008,Wheat,4.86
5,2009,Wheat,4.87
5,2010,Wheat,5.5
5,2011,Wheat,6.27
5,2012,Wheat,6.08
5,2013,Wheat,11.5
5,2014,Wheat,7.5
5,2015,Wheat,6.15
5,2016,Wheat,7.12
5,2017,Wheat,6.76
6,1966,Wheat,1.0
6,1967,Wheat,4.0
6,1968,Wheat,3.0
6,1969,Wheat,4.2
6,1970,Wheat,5.0
6,1971,Wheat,4.4
6,1972,Wheat,6.2
6,1973,Wheat,7.7
6,1974,Wheat,8.1
6,1975,Wheat,8.8
6,1976,Wheat,6.2
6,1977,Wheat,8.4
6,1978,Wheat,15.3
6,1979,Wheat,5.3
6,1980,Wheat,13.5
6,1981,Wheat,11.7
6,1982,Wheat,12.4
6,1983,Wheat,6.8
6,1984,Wheat,13.3
6,1985,Wheat,15.2
6,1986,Wheat,24.0
6,1987,Wheat,23.0
6,1988,Wheat,19.5
6,1989,Wheat,22.0
6,1990,Wheat,25.3
6,1991,Wheat,18.0
6,1992,Wheat,13.0
6,1993,Wheat,20.7
6,1994,Wheat,25.8
6,1995,Wheat,26.8
6,1996,Wheat,27.7
6,1997,Wheat,23.1
6,1998,Wheat,26.3
6,1999,Wheat,0.0
6,2000,Wheat,33.31
6,2001,Wheat,33.18
6,2002,Wheat,29.71
6,2003,Wheat,29.24
6,2004,Wheat,24.32
6,2005,Wheat,24.32
6,2006,Wheat,23.79
6,2007,Wheat,30.09
6,2008,Wheat,29.68
6,2009,Wheat,26.84
6,2010,Wheat,27.45
6,2011,Wheat,32.02
6,2012,Wheat,41.92
6,2013,Wheat,41.33
6,2014,Wheat,43.61
6,2015,Wheat,33.51
6,2016,Wheat,37.56
6,2017,Wheat,37.09
7,1966,Wheat,39.0
7,1967,Wheat,71.0
7,1968,Wheat,64.0
7,1969,Wheat,76.6
7,1970,Wheat,100.3
7,1971,Wheat,103.1
7,1972,Wheat,94.0
7,1973,Wheat,116.4
7,1974,Wheat,67.6
7,1975,Wheat,124.7
7,1976,Wheat,61.2
7,1977,Wheat,97.1
7,1978,Wheat,124.3
7,1979,Wheat,45.6
7,1980,Wheat,144.7
7,1981,Wheat,75.0
7,1982,Wheat,99.6
7,1983,Wheat,181.4
7,1984,Wheat,125.1
7,1985,Wheat,129.2
7,1986,Wheat,80.0
7,1987,Wheat,146.0
7,1988,Wheat,161.5
7,1989,Wheat,113.8
7,1990,Wheat,167.9
7,1991,Wheat,134.0
7,1992,Wheat,194.9
7,1993,Wheat,200.4
7,1994,Wheat,215.5
7,1995,Wheat,182.0
7,1996,Wheat,166.5
7,1997,Wheat,169.1
7,1998,Wheat,136.5
7,1999,Wheat,253.4
7,2000,Wheat,195.9
7,2001,Wheat,220.5
7,2002,Wheat,170.0
7,2003,Wheat,241.2
7,2004,Wheat,231.69
7,2005,Wheat,255.66
7,2006,Wheat,226.35
7,2007,Wheat,166.2
7,2008,Wheat,245.8
